season,year,measure,value
winter,2007,Max Temperature,-35.3
winter,1982,Min Temperature,-67.61
winter,1992,Max Wind Speed,4.6250448208220754E18
winter,2004,Min Wind Speed,4.5978149315750866E18
winter,2006,Max Humidity,82.0
winter,2017,Min Humidity,24.0
