season,year,measure,value
summer,1997,Max Temperature,-23.56
summer,1986,Min Temperature,-59.4
summer,2020,Max Wind Speed,4.6226804310177065E18
summer,2016,Min Wind Speed,4.5873665804395873E18
summer,2014,Max Humidity,81.0
summer,1983,Min Humidity,49.0
